Lens ID,Country,Publication Date,Publication Year,Title,Assignee (Applicant),Primary Assignee,Technology Category,Application Area,Abstract,URL
096-810-727-974-779,China,2022-02-11,2022,Power battery and vehicle,ZHAOQING XIAOPENG AUTOMOBILE CO LTD,ZHAOQING XIAOPENG AUTOMOBILE,Thermal & Safety,Electric Vehicles,"The utility model relates to a power battery and a vehicle. The power battery comprises a box body, a battery module and a thermal management system, wherein the battery module and the thermal management system are arranged in the box body; wherein the heat management system comprises a heat management flow channel arranged in the battery module, and cooling liquid flows in the heat management flow channel; and the heat management flow channel is used for being unsealed at a preset temperature threshold so as to form fluid communication with the internal space of the battery module. According to the scheme provided by the utility model, when the battery module is subjected to thermal runaway, heat emitted by the battery module heats the thermal management flow channel, the thermal management flow channel is unsealed when being heated to reach the preset temperature threshold value, and the cooling liquid flows out of the thermal management flow channel to be in contact with the battery module so as to cool the battery module; therefore, the thermal runaway of the power battery is relieved and controlled, and the safety and the reliability are improved.",https://lens.org/096-810-727-974-779
104-622-682-334-064,United States,2022-06-07,2022,Thermal runaway detection circuit and method,CONTEMPORARY AMPEREX TECHNOLOGY CO LTD,CONTEMPORARY AMPEREX TECHNOLOGY,Thermal & Safety,General Applications,"The disclosure provides a thermal runaway detection circuit and method, and relates to batteries. The thermal runaway detection circuit includes: a sensing module including a sensing cable; a detection module connected to the sensing cable and including at least one set of voltage dividing resistors; a processing module connected to the detection module, wherein the processing module is configured to obtain thermal runaway detection data, and determine whether thermal runaway occurs in the battery pack based on the thermal runaway detection data, wherein the thermal runaway detection data includes battery pack data and sampled data collected from sampling points, and the sampling points are disposed between the two connected voltage dividing resistor sets. The technical solutions in the present disclosure can improve safety of the battery pack.",https://lens.org/104-622-682-334-064
041-153-070-748-837,European Patent Office,2022-11-23,2022,NEGATIVE ELECTRODE PLATE AND LITHIUM-ION SECONDARY BATTERY,CONTEMPORARY AMPEREX TECHNOLOGY CO LTD,CONTEMPORARY AMPEREX TECHNOLOGY,Others,General Applications,,https://lens.org/041-153-070-748-837
142-834-996-423-716,United States,2022-03-29,2022,Electric bus,PROTERRA INC,PROTERRA,Battery Pack & Structure,General Applications,"A low-floor electric bus includes a plurality of battery packs mounted under the floor of such that the floor inside the bus between a front axle and a rear axle of the bus is substantially flat. Each battery pack may include an enclosure and multiple battery modules positioned within the enclosure. And, each battery module may include a plurality of battery cells electrically connected together.",https://lens.org/142-834-996-423-716
064-894-904-901-547,United States,2022-10-13,2022,BATTERY AND ELECTRIC DEVICE,CONTEMPORARY AMPEREX TECHNOLOGY CO LTD,CONTEMPORARY AMPEREX TECHNOLOGY,Thermal & Safety,Electric Vehicles,"This application relates to the field of battery power technologies and provides a battery and an electric device. The battery includes a battery cell, a thermal management apparatus and an insulation assembly. The thermal management apparatus and the insulation assembly are disposed on the battery cell. The battery cell is provided with an electrode terminal, the insulation assembly is connected to the electrode terminal, and the insulation assembly isolates the electrode terminal from the thermal management apparatus, thus avoiding impact on the electrode terminal by condensed water produced during operation of the thermal management apparatus, which improves safety of the battery.",https://lens.org/064-894-904-901-547
152-880-063-931-532,China,2022-11-18,2022,Battery thermal management device with damping function,UNIV XI AN JIAOTONG,UNIV XI AN JIAOTONG,Thermal & Safety,Electric Vehicles,"The invention discloses a battery heat management device with a damping function. The battery heat management device comprises a battery and an elastic heat conduction hose wound on the battery, a base is arranged at the bottom of the battery, and baffles are arranged on the periphery of the base, so that the battery is better fixed; and cold fluid or hot fluid circulates in the elastic heat conduction hose to cool or heat the battery. According to the battery thermal management device, the elastic heat conduction hose is used, the damping function is achieved, damage such as short circuit caused by bumping and collision of the battery can be prevented, the safety of a battery system is improved, the total mass of the battery thermal management device is reduced due to the fact that the elastic hose is light, and the battery thermal management device is convenient to use and popularize in order to improve the safety of a vehicle-mounted power battery system. And a new way is provided for reducing the energy consumption of the vehicle.",https://lens.org/152-880-063-931-532
080-697-546-963-576,United States,2022-12-01,2022,LITHIUM-ION BATTERY AND APPARATUS CONTAINING SAME,JIANGSU CONTEMPORARY AMPEREX TECH LTD,JIANGSU CONTEMPORARY AMPEREX TECH,Battery Chemistry,General Applications,"A lithium-ion battery and an apparatus containing the same are provided. In some embodiments, the lithium-ion battery includes: a positive electrode plate including a positive electrode current collector and a positive electrode active substance layer; and an electrolyte including a non-aqueous organic solvent. A low-swelling adhesive layer and an oily adhesive layer are sequentially arranged between the positive electrode current collector and the positive electrode active substance layer; the low-swelling adhesive layer includes a low-swelling binder, and the oily adhesive layer includes a first binder, where a solubility parameter SP1 of the low-swelling binder is less than a solubility parameter SP2 of the first binder.",https://lens.org/080-697-546-963-576
051-869-305-348-19X,United States,2022-03-17,2022,THERMAL RUNAWAY DETECTION SYSTEMS FOR BATTERIES WITHIN ENCLOSURES AND METHODS OF USE THEREOF,AMPHENOL THERMOMETRICS INC,AMPHENOL THERMOMETRICS,Thermal & Safety,General Applications,A battery thermal runaway detection sensor system for use within a battery enclosure housing one or more batteries. The system has at least one gas sensor for detecting a venting condition of a battery cell and providing a sensed output in real time. A microcontroller determines power management and signal conditioned output on the concentration of specific battery venting gases based on the sensed output from said at least one gas sensor. Methods of using such sensor systems are also described.,https://lens.org/051-869-305-348-19X
094-207-384-627-425,China,2022-12-02,2022,"Binary high-nickel sodium ion battery positive electrode material, preparation method and application",GUANGDONG BRUNP RECYCLING TECHNOLOGY CO LTD;;HUNAN BRUNP RECYCLING TECH CO LTD,GUANGDONG BRUNP RECYCLING TECHNOLOGY,Others,General Applications,"The invention provides a binary high-nickel sodium-ion battery positive electrode material, a preparation method and application, the binary high-nickel sodium-ion battery positive electrode material comprises a sodium-ion battery positive electrode particle material and a Ni-NaP layer coating the surface of the positive electrode particle material; the sodium-ion battery positive electrode particle material, phosphate and organic glue are mixed and sintered to obtain the binary high-nickel sodium-ion battery positive electrode material which can be applied to a sodium-ion battery positive electrode plate and a sodium-ion battery. The Ni-NaP layer in the binary high-nickel sodium ion battery positive electrode material prepared by the invention has relatively high conductivity, so that the surface conductivity of particles can be improved, the conductivity of the positive electrode material can be improved, and the transmission of ions among positive electrode particles is promoted.",https://lens.org/094-207-384-627-425
037-703-025-672-940,United States,2022-09-22,2022,UNIVERSAL BATTERY PACK WITH LOAD BALANCING FOR ELECTRIC VEHICLES,ACTON INC,ACTON,Charging Technology,Electric Vehicles,"A universal battery is provided with load balancing and a battery module and an energy storage system electrically coupled to the battery module and configured to bidirectionally transfer energy from and to the battery module. The energy storage system is operable in a first operating state in which the energy is transferred from the energy storage system to the battery module to charge the battery module, and a second operating state in which the energy is transferred from the battery module to the energy storage system to discharge the battery module. An electrical connection electrically couples the energy storage system to a power source. A controller is operably coupled to the battery module and the energy storage system. The controller is configured to control a charging state of the battery module.",https://lens.org/037-703-025-672-940
098-426-760-418-703,China,2022-11-22,2022,Rapid evaluation method for cycle performance of rapidly-charged graphite of lithium ion battery,JIANGSU HIGEE NEW ENERGY CO LTD,JIANGSU HIGEE NEW ENERGY,Charging Technology,Electric Vehicles,"The invention relates to a rapid evaluation method for cycle performance of fast-charge graphite of a lithium ion battery, and the method specifically comprises the following steps: (1) at normal temperature, firstly discharging electricity for a standard fast-charge battery and a fast-charge battery to be tested, then fully charging with large current, after fully charging, fully standing until the voltage is unchanged, and respectively recording the voltage drop of the two batteries; (2) performing high-temperature cycle test on the standard fast-charging battery and the fast-charging battery to be tested; and (3) by comparing the voltage drop and high-temperature cycle performance of the standard fast charging battery and the fast charging battery to be tested, evaluating and judging the cycle performance of the two types of fast charging graphite. According to the rapid evaluation method for the cycle performance of the fast-charging graphite of the lithium ion battery, the fast-charging graphite can be rapidly screened and evaluated, the evaluation period of the fast-charging graphite is shortened, and the method is simple and easy to operate and implement.",https://lens.org/098-426-760-418-703
128-626-112-808-028,China,2022-06-28,2022,Power system energy storage maintaining method and power system,GUANGDONG POWER DESIGN RES INSTITUTE LIMITED COMPANY OF CHINESE ENERGY CONSTRUCTION GROUP,GUANGDONG POWER DESIGN RES INSTITUTE OF CHINESE ENERGY CONSTRUCTION GROUP,Others,Energy Storage Systems,"The invention discloses an electric power system energy storage maintaining method and an electric power system, and the method comprises the steps: obtaining an initial energy storage battery energy value and a supplementary energy storage battery energy value according to a grid-connected energy requirement of the electric power system and an energy attenuation coefficient of an energy storage battery, and making an energy storage battery supplementary plan; connecting a plurality of initial battery cluster units formed by connecting energy storage batteries in series into an energy storage converter circuit of the power system according to the energy value of the supplementary energy storage batteries; and connecting a plurality of supplementary battery cluster units formed by connecting the energy storage batteries in series into an energy storage converter circuit of the power system within a supplementary time range of the energy storage battery supplementary plan according to the energy value of the supplementary energy storage batteries. By adopting the embodiment of the invention, the grid-connected energy requirement of the energy storage design is ensured by implementing the scheme of supplementing the energy storage battery, so that the energy loss and the increase of the operation cost caused by premature supplementing of the energy storage battery are avoided.",https://lens.org/128-626-112-808-028
014-161-401-237-531,China,2022-06-10,2022,"Battery energy storage system, integrated safety management method, device, equipment and medium",CHINESE ELECTRIC POWER SCIENCE RES INSTITUTE LIMITED COMPANY;;ELECTRIC POWER SCIENCE RES INSTITUTE OF STATE GRID FUJIAN PROVINCE ELECTRIC POWER LIMITED COMPANY;;STATE GRID CORP CHINA,CHINESE ELECTRIC POWER SCIENCE RES INSTITUTE,Thermal & Safety,Electric Vehicles,"The invention discloses a battery energy storage system, an integrated safety management method, an integrated safety management device, integrated safety management equipment and a medium. Whether the temperature of a battery containing a flame-retardant material exceeds an early warning value of battery thermal runaway or not is judged; and if the battery temperature exceeds the early warning value of battery thermal runaway, extinguishing fire according to a fire-fighting strategy. The battery energy storage system is mainly based on electric and thermal management during operation, the state of the battery is monitored in real time, pre-judgment of a thermal runaway accident is achieved by judging whether the temperature of the battery exceeds an early warning value or not, when the temperature of the battery exceeds the early warning value, thermal runaway combustion of the battery is judged, and detection of the thermal runaway accident is achieved through electric management. The thermal runaway accident is controlled according to the fire-fighting strategy, the thermal runaway of the battery is prevented from being further diffused, and the multi-level control of the battery energy storage system can be realized.",https://lens.org/014-161-401-237-531
181-768-468-637-990,United States,2022-01-27,2022,ACTIVE BIOLOGICAL SAMPLE PROCESSING AND THERMAL MANAGEMENT DEVICES,SANDSTONE DIAGNOSTICS INC,SANDSTONE DIAGNOSTICS,Thermal & Safety,Electric Vehicles,"Embodiments for a portable and compact centrifugation and thermal management system capable of separating and transporting biological samples while maintaining sample quality for periods of shipment time are described. A compact, automatic centrifuge holding exactly one sample tube is inside an insulating and thermally managed container suitable for standard shipping. A rotor to retain a sample tube is pre-balanced. An electronic controller starts, times and stops centrifugation automatically, responsive to placement of a lid. Thermal management may comprise a phase change material. Embodiments are free of user controls. Embodiments are free of the need for external power or external control.",https://lens.org/181-768-468-637-990
191-988-437-643-99X,United States,2022-01-13,2022,POWER SUPPLY APPARATUS AND COMPONENTS THEREOF (VENTING),TONG YUI LUNG,TONG YUI LUNG,Thermal & Safety,General Applications,"A power supply apparatus (10) comprising a main housing (200), a battery assembly (100), battery management circuitry (300) and temperature conditioning arrangement. A battery compartment (106) comprises a discharge chamber (108) which is in fluid communication with safety vents of batteries (106). Venting apertures (232) are formed on the discharge chamber (108), and thermal sensors are provided on the discharge chamber (108). The thermal sensors are configured to detect temperature inside the battery compartment (106) and to deliver temperature information to the battery management circuitry (300), which is to activate a counter-measure or temperature conditioning arrangement to condition temperature of the battery assembly (100) when the temperature detected by the thermal sensor or a plurality of thermal sensors reaches an activation threshold temperature.",https://lens.org/191-988-437-643-99X
174-471-985-694-394,China,2022-03-29,2022,Thermal safety management system and battery,SHENZHEN SOUTH CHINA SEA HIGH AND NEW TECH LIMITED COMPANY,SHENZHEN SOUTH CHINA SEA HIGH AND NEW TECH,Thermal & Safety,Electric Vehicles,"The utility model relates to the technical field of battery equipment, in particular to a thermal safety management system and a battery. The thermal safety management system comprises a box body; the whole bag heat conduction mechanism is arranged in the box body; the plurality of heat conduction pieces are sequentially arranged in the box body at intervals, a mounting area for accommodating and mounting a battery cell is formed between every two adjacent heat conduction pieces, and the mounting area can accommodate and mount at least one battery cell; the heat conduction piece comprises a supporting part used for supporting the battery cell, the supporting part is arranged flatly, and the supporting part and the whole package heat conduction mechanism are arranged in a completely attached mode. And through the attaching arrangement of the supporting part and the whole package heat conduction mechanism, the speed of transferring heat from the heat conduction piece to the whole package heat conduction mechanism is increased, and the heat dissipation capacity of the thermal safety management system is effectively improved.",https://lens.org/174-471-985-694-394
063-067-242-155-18X,China,2022-10-04,2022,Manufacturing method of composite electrolyte sheet and manufacturing process of soft package solid-state battery,SHUANGDENG GROUP CO LTD;;JIANGSU SHUANGDENG FRONT NEW ENERGY CO LTD,SHUANGDENG GROUP,Battery Chemistry,General Applications,"The invention relates to the technical field of solid-state batteries, in particular to a manufacturing method of a composite electrolyte sheet and a manufacturing process of a soft package solid-state battery. The manufacturing method of the composite electrolyte sheet comprises the following steps: preparing a solid electrolyte; preparing an electrolyte sheet with a smooth surface; preparing a solid electrolyte precursor solution; and preparing the composite electrolyte sheet. The manufacturing process of the soft package solid-state battery adopts the composite electrolyte sheet manufactured by the manufacturing method of the composite electrolyte sheet in the scheme, and comprises the following steps: manufacturing the soft package battery, preparing the solid electrolyte and the solid-state battery, manufacturing a finished product of the soft package solid-state battery, and performing high-temperature cycle test. According to the method, the solid-solid interface stability of the solid-state battery can be effectively improved, and the electrochemical performance and the mechanical performance of the electrolyte can be effectively improved by adopting the composite solid-state electrolyte, so that the cycle life of the solid-state battery is effectively prolonged.",https://lens.org/063-067-242-155-18X
094-091-322-049-744,United States,2022-03-08,2022,Solid-state electrolyte and all-solid-state battery,MURATA MANUFACTURING CO,MURATA MANUFACTURING,Battery Chemistry,General Applications,"A NaSICON-type solid-state electrolyte that contains Na as a conducting species, Zr, M, Si, P, and O, where M is at least one element selected from Mg, V, and Nb. The NaSICON-type solid-state electrolyte has a composition in which a molar ratio of M to Zr (M/Zr) is less than 0.2.",https://lens.org/094-091-322-049-744
148-235-905-252-602,China,2022-04-08,2022,"COMPOSITION CONTAINING INORGANIC SOLID ELECTROLYTE, SHEET FOR ALL-SOLID SECONDARY BATTERIES, ALL-SOLID SECONDARY BATTERY, AND METHOD FOR MANUFACTURING SHEET FOR ALL-SOLID SECONDARY BATTERY",FUJI FILM JOINT TYPE CONSULTATION,FUJI FILM JOINT TYPE CONSULTATION,Battery Chemistry,General Applications,"Provided are: a composition containing an inorganic solid electrolyte, which has excellent dispersion stability and handling properties; a sheet for all-solid-state secondary batteries, which uses the composition containing an inorganic solid electrolyte; an all-solid-state secondary battery; and a method for producing the sheet for all-solid-state secondary batteries, and an all-solid-state secondary battery. Provided are: a composition containing an inorganic solid electrolyte; a sheet for all-solid-state secondary batteries, which uses the composition containing an inorganic solid electrolyte; an all-solid-state secondary battery; and a method for producing the sheet for all-solid-state secondary batteries and an all-solid-state secondary battery. The inorganic solid electrolyte-containing composition contains an inorganic solid electrolyte having conductivity of ions of a metal belonging to group 1 or group 2 of the periodic table, a polymer binder, and a dispersion medium, the polymer binder contains a polymer binder having an adsorption rate of less than 60% with respect to the inorganic solid electrolyte in the dispersion medium.",https://lens.org/148-235-905-252-602
067-992-571-283-549,United States,2022-11-03,2022,"SOLID-STATE BATTERY, BATTERY MODULE, BATTERY PACK, AND APPARATUS ASSOCIATED THEREWITH",JIANGSU CONTEMPORARY AMPEREX TECH LTD,JIANGSU CONTEMPORARY AMPEREX TECH,Battery Chemistry,General Applications,"A solid-state battery, a battery module, a battery pack, and an apparatus associated therewith are provided. In some embodiments, the solid-state battery includes a solid-state electrolyte, where the solid-state electrolyte includes a sulfide electrolyte layer and at least one polymer electrolyte layer provided on a surface of the sulfide electrolyte layer, and the solid-state electrolyte satisfies the following condition: thickness of the sulfide electrolyte layer≥thickness of the polymer electrolyte layer on one side ≥84.2−80.2w. The polymer electrolyte layer having an appropriate thickness in this disclosure can improve interfacial infiltration between the current sulfide electrolyte layer and an electrode without seriously reducing the overall energy density of the battery, thereby overcoming defects of sulfide electrolyte in disclosures in solid-state batteries to a large extent and improving cycling performance and safety performance of solid-state batteries.",https://lens.org/067-992-571-283-549
013-815-150-692-102,China,2022-11-01,2022,Negative electrode of sodium ion battery and sodium ion battery,DO FLUORIDE NEW MATERIALS CO LTD,DO FLUORIDE NEW MATERIALS,Battery Chemistry,General Applications,"The invention belongs to the technical field of sodium ion batteries, and particularly relates to a sodium ion battery negative electrode and a sodium ion battery. The sodium ion battery negative electrode comprises a negative electrode current collector and a negative electrode active substance layer coated on the negative electrode current collector, and the negative electrode active substance layer comprises a sodium ion battery negative electrode main material, a conductive agent, an adhesive and alkalescent alkali metal salt; the mass ratio of the sodium ion battery negative electrode main material to the conductive agent to the adhesive to the alkalescent alkali metal salt is (90-98): (1-9): (1-9): (0.5-2). According to the invention, the alkalescent alkali metal salt is added into the negative electrode of the battery, and the alkali metal salt can wrap the negative electrode particles in the slurry to reduce the contact area between the electrolyte and the negative electrode particles, so that the side reaction between the negative electrode material of the sodium-ion battery and the electrolyte is reduced, the generation of gas is reduced, and the cycle performance and high-temperature performance of the sodium-ion battery are further improved.",https://lens.org/013-815-150-692-102
164-118-265-824-664,China,2022-03-22,2022,"Charging and discharging circuit, charging and discharging method and energy-saving lithium battery charging and discharging system",JIANGSU MONXIN NEW ENERGY SCIENCE AND TECH LIMITED COMPANY,JIANGSU MONXIN NEW ENERGY SCIENCE AND TECH,Charging Technology,Electric Vehicles,"The invention discloses a charging and discharging circuit, a charging and discharging method and an energy-saving lithium battery charging and discharging system, the charging and discharging circuit comprises a power supply module, a first lithium battery, a second lithium battery and a load; a first charging circuit is arranged between the first lithium battery and the power module, a second charging circuit is arranged between the second lithium battery and the power module, a first electric energy recovery module and a second electric energy recovery module are arranged between the first lithium battery and the second lithium battery, and a first discharging circuit is arranged between the first lithium battery and the load. A second discharging circuit is arranged between the second lithium battery and the load; the electric quantity is recycled through the first electric energy recycling module and the second electric energy recycling module preferentially, after the recycled electric quantity is insufficient, the charging test is completed through the first charging circuit and the second charging circuit, the electric quantity recycling process is also the discharging test process, and high efficiency and energy saving are achieved.",https://lens.org/164-118-265-824-664
003-535-543-132-49X,European Patent Office,2022-04-13,2022,"SAFETY MONITORING METHOD AND SYSTEM FOR VEHICLE, AND DEVICE",NIO TECHNOLOGY ANHUI CO LTD,NIO TECHNOLOGY ANHUI,Thermal & Safety,Electric Vehicles,"The invention relates to the technical field of battery safety, and in particular to a safety monitoring method and system for a vehicle. The invention is intended to solve the problem that a battery cannot be continuously and safely monitored when a new energy vehicle is parked. To this end, the safety monitoring method in the invention includes: when a vehicle is in a parked state, waking up a battery management controller at specific time intervals, and obtaining status data of the battery by means of a battery management controller; determining, based on the status data, whether the battery is in an anomalous state; and when the battery is not in the anomalous state, controlling the battery management controller to enter hibernation state again; or when the battery is in the anomalous state, further waking up a wireless communications network, and uploading the status data and/or an alarm signal to a remote monitoring platform by means of the wireless communications network. According to the present application, a status of a traction battery in a parked state can be continuously monitored, and in addition, data can be remotely uploaded purposefully to reduce energy consumption.",https://lens.org/003-535-543-132-49X
023-399-798-501-850,China,2022-10-04,2022,Energy storage battery cabinet and energy storage battery system,SHENZHEN UZ ENERGY CO LTD,SHENZHEN UZ ENERGY,Thermal & Safety,Electric Vehicles,"The invention relates to the field of battery cabinets, in particular to an energy storage battery cabinet and an energy storage battery system. The energy storage battery cabinet comprises a cabinet body, a power frequency inverter, a controller and a battery pack, interlayer frames are fixedly connected to the interior of the cabinet body at equal intervals, a cabinet door is rotationally connected to one side of the cabinet body through hinges, the power frequency inverter is slidably inserted into the upper portion of the interior of the cabinet body, the controller is arranged below the power frequency inverter and slidably inserted into the interior of the cabinet body, and the battery pack is arranged in the cabinet body. And the controller is electrically connected with the power frequency inverter. According to the energy storage battery cabinet and the energy storage battery system provided by the invention, during wiring, a connecting line is prevented from loosening after connection, equipment in the cabinet body is firmer during line connection and is more regular during line connection, and when a fire occurs in the battery cabinet, a baffle is pulled to open a shielded leak hole, so that the fire can be prevented from falling off. And fire extinguishing dry powder in the dry powder box falls into the cabinet body along the leak holes, so that fire extinguishing can be performed at the first time without pulling the cabinet door, and the safety of the battery cabinet is enhanced.",https://lens.org/023-399-798-501-850
136-706-829-982-023,China,2022-06-10,2022,Waste lithium ion battery recycling method and device,NANGJIANG TIANCI GAO NEW MAT CO LTD,NANGJIANG TIANCI GAO NEW MAT,Battery Chemistry,Electric Vehicles,"The invention relates to the field of lithium ion batteries, in particular to a waste lithium ion battery recycling method and device, electronic equipment and a computer readable storage medium. The waste lithium ion battery recycling method comprises the steps that waste lithium ion batteries are pretreated to obtain first battery broken materials, and the first battery broken materials comprise electrolytes of the waste lithium ion batteries; the first battery crushed object is subjected to first cracking, a second battery crushed object and first tail gas are obtained, the second battery crushed object comprises lithium fluoride, and the first tail gas comprises phosphorus pentafluoride; introducing the first tail gas into absorption liquid to obtain hexafluorophosphate; and carrying out post-treatment on the second crushed battery material to obtain a first recycled material. Therefore, the problem that the electrolyte of the waste lithium ion battery cannot be completely recycled is solved, the recycling benefit is improved, and overhigh tail gas treatment cost and environmental pollution are avoided. The invention further provides a waste lithium ion battery recycling device, electronic equipment and a computer readable storage medium.",https://lens.org/136-706-829-982-023
105-193-259-631-065,China,2022-07-29,2022,Solid-state battery and preparation method and application thereof,HEBEI GUANGXING SEMICONDUCTOR TECH CO LTD;;BEIJING YUANDA XINDA TECH CO LTD,HEBEI GUANGXING SEMICONDUCTOR TECH,Battery Chemistry,General Applications,"The invention relates to the technical field of lithium ion batteries, and discloses a solid-state battery and a preparation method and application thereof. The solid-state battery comprises stacked battery cells, and each battery cell comprises a positive electrode, a negative electrode and a composite electrolyte arranged between the positive electrode and the negative electrode; the composite electrolyte comprises a first electrolyte and second electrolytes arranged on the two sides of the first electrolyte, the first electrolyte is a solid electrolyte membrane, and the second electrolytes are obtained by curing electrolyte containing additives. According to the solid-state battery provided by the invention, the solid-state electrolyte and the liquid-state electrolyte containing the additive are organically combined, so that the interface impedance between the electrolyte and the positive electrode and between the electrolyte and the negative electrode can be remarkably enhanced, and the solid-state battery with excellent cycle stability can be obtained.",https://lens.org/105-193-259-631-065
093-890-435-550-871,European Patent Office,2022-05-25,2022,"INORGANIC SOLID ELECTROLYTE-CONTAINING COMPOSITION, SHEET FOR ALL-SOLID-STATE SECONDARY BATTERIES, ELECTRODE SHEET FOR ALL-SOLID-STATE SECONDARY BATTERIES, ALL-SOLID-STATE SECONDARY BATTERY, METHOD FOR PRODUCING SHEET FOR ALL-SOLID-STATE SECONDARY BATTERIES AND METHOD FOR PRODUCING ALL-SOLID-STATE SECONDARY BATTERY",FUJIFILM CORP,FUJIFILM,Battery Chemistry,General Applications,"There are provided an inorganic solid electrolyte-containing composition excellent in initial dispersibility and dispersion stability, a sheet for an all-solid state secondary battery, an electrode sheet for an all-solid state secondary battery, and an all-solid state secondary battery, and manufacturing methods for a sheet for an all-solid state secondary battery and an all-solid state secondary battery, in which the above inorganic solid electrolyte-containing composition is used. The inorganic solid electrolyte-containing composition is a composition containing an inorganic solid electrolyte, a binder, and an organic solvent, where the composition contains, as the binder, at least two kinds of binder A and binder B which differ in adsorption rate with respect to the inorganic solid electrolyte, and an adsorption rate of the inorganic solid electrolyte-containing composition is 15% or more, and an adsorption rate of the binder B is less than 10%. The manufacturing methods for a sheet for an all-solid state secondary battery and an all-solid state secondary battery are methods in which a sheet for an all-solid state secondary battery, an electrode sheet for an all-solid state secondary battery, and an all-solid state secondary battery, in which the above inorganic solid electrolyte-containing composition is used, are used.",https://lens.org/093-890-435-550-871
117-109-750-184-489,China,2022-10-11,2022,"Solid-state electrolyte, electrode containing solid-state electrolyte and solid-state lithium battery",CHEN BEN,CHEN BEN,Battery Chemistry,General Applications,"The invention relates to a solid electrolyte, an electrode containing the solid electrolyte and a solid lithium battery, the solid electrolyte comprises a polymer, the polymer contains a flexible main chain and a rigid chain segment, and the flexible main chain contains an ether group unit and an acrylate unit; the rigid chain segment contains an olefin compound unit with a ureido group. The solid electrolyte has the comprehensive performance of a flexible polymer and a rigid polymer, a dimer ureido unit containing a substituted or unsubstituted functional group is introduced into a main chain, and the rigidity of the flexible polymer is improved, so that the strength of the polymer electrolyte is improved; by adjusting the content of the dimer, the mechanical property of the polymer electrolyte can be regulated and controlled. The solid electrolyte is favorable for further improving the safety performance of the lithium ion battery, especially has excellent dendritic crystal resistance, and has excellent market application prospects.",https://lens.org/117-109-750-184-489
120-128-858-800-222,United States,2022-11-22,2022,"Solid electrolyte film for all-solid state secondary battery, solid electrolyte sheet for all-solid state secondary battery, positive electrode active material film for all-solid state secondary battery, negative electrode active material film for all-solid state secondary battery, electrode sheet for all-solid state secondary battery, all-solid state secondary battery, and method for manufacturing all-solid state secondary battery",FUJIFILM CORP,FUJIFILM,Battery Chemistry,General Applications,"Provided are an inorganic solid electrolyte material including a sulfide-based inorganic solid electrolyte and an electron-insulating inorganic material that coats a surface of the sulfide-based inorganic solid electrolyte, is solid at 100° C., and fuses at a specific temperature, a slurry using the same, a solid electrolyte film for an all-solid state secondary battery, a solid electrolyte sheet for an all-solid state secondary battery, a positive electrode active material film for an all-solid state secondary battery, a negative electrode active material film for an all-solid state secondary battery, an electrode sheet for an all-solid state secondary battery, an all-solid state secondary battery, and a method for manufacturing an all-solid state secondary battery.",https://lens.org/120-128-858-800-222
190-512-876-150-353,China,2022-10-18,2022,Double-layer solid-state electrolyte membrane for solid-state lithium battery and preparation method of double-layer solid-state electrolyte membrane,ZHEJIANG DAXIANG NEW ENERGY TECH CO LTD,ZHEJIANG DAXIANG NEW ENERGY TECH,Battery Chemistry,Electric Vehicles,"The invention discloses a double-layer solid electrolyte membrane for a solid-state lithium battery and a preparation method of the double-layer solid electrolyte membrane, and belongs to the technical field of solid-state lithium ion batteries. Comprising a solid-state electrolyte membrane A coated on the surface of a battery positive pole piece and a solid-state electrolyte membrane B coated on the surface of a battery negative pole piece, and the solid-state electrolyte membrane A is composed of a polymer solid-state electrolyte A, an inorganic solid-state electrolyte and a lithium salt; and the solid electrolyte membrane B is composed of a polymer solid electrolyte B, an inorganic solid electrolyte, a lithium salt and a conductive agent. The ionic conductivity of the solid-state electrolyte membrane is effectively improved, the interface impedance of the solid-state electrolyte membrane/electrode plate is reduced, the current density is adjusted, lithium dendrites are prevented, the electrical performance and the safety performance of the solid-state lithium battery are improved, and the method is convenient to popularize and use.",https://lens.org/190-512-876-150-353
172-463-829-384-623,China,2022-05-10,2022,"Electrolyte of solid-state battery, preparation method of electrolyte, solid-state battery and vehicle",GUANGZHOU QINGPENG AUTOMOBILE SCIENCE AND TECH LIMITED COMPANY,GUANGZHOU QINGPENG AUTOMOBILE SCIENCE AND TECH,Battery Chemistry,Electric Vehicles,"The invention provides an electrolyte of a solid-state battery, a preparation method of the electrolyte, the solid-state battery and a vehicle, the electrolyte is xLi2ZrCl6-yGaF3, 0 lt; xlt; 5, 0lt; yt; Yt; 5. The electrolyte provided by the embodiment of the invention has the clay-shaped characteristic, and the clay-shaped electrolyte can be tightly adhered to the negative electrode material with the porous structure, so that uniform transmission of electrons and ions in the negative electrode material is facilitated. Meanwhile, better electrochemical performance is provided through Li2ZrCl6 contained in the electrolyte, and the ionic conductivity of the electrolyte can be greater than 1mS/cm, so that the solid-state battery using the electrolyte can have better performance. And the preparation method of the electrolyte is simple and easy to implement and can be easily applied to actual production.",https://lens.org/172-463-829-384-623
